resident_id,apartment_id,resident_name,gender,age,occupation,phone,email,move_in_date,resident_type,dataset_version
res-00024,t01-f02-u06,suresh rao,female,78,sales manager,9364512739.0,suresh.rao24@gmail.com,2015-07-17,owner,v1.0.0
res-00025,t01-f02-u06,karthik nair,female,65,consultant,9122628256.0,karthik.nair25@gmail.com,2019-02-08,tenant,v1.0.0
res-00026,t01-f02-u07,priya sharma,other,48,consultant,9693487068.0,priya.sharma26@gmail.com,2022-01-11,owner,v1.0.0
res-00027,t01-f02-u07,lakshmi patel,other,48,lawyer,9517117581.0,lakshmi.patel27@gmail.com,2026-04-03,tenant,v1.0.0
res-00028,t01-f02-u07,arjun gupta,male,48,consultant,9325900773.0,arjun.gupta28@gmail.com,2016-09-14,tenant,v1.0.0
res-00029,t01-f02-u07,amit nair,other,70,software engineer,9394244475.0,amit.nair29@gmail.com,2016-08-17,owner,v1.0.0
res-00030,t01-f02-u07,neha khan,other,70,banker,9870287372.0,neha.khan30@gmail.com,2021-08-09,owner,v1.0.0
res-00031,t01-f02-u07,sneha gupta,other,26,banker,9551906293.0,sneha.gupta31@gmail.com,2019-08-04,owner,v1.0.0
res-00032,t01-f02-u08,suresh khan,other,21,software engineer,9788668793.0,suresh.khan32@gmail.com,2019-02-24,owner,v1.0.0
res-00033,t01-f02-u08,amit reddy,male,69,business owner,9774627988.0,amit.reddy33@gmail.com,2022-12-01,owner,v1.0.0
res-00034,t01-f03-u01,suresh menon,female,32,teacher,9368009789.0,suresh.menon34@gmail.com,2020-07-20,owner,v1.0.0
res-00035,t01-f03-u01,isha nair,female,79,teacher,9379902891.0,isha.nair35@gmail.com,2024-05-25,owner,v1.0.0
res-00036,t01-f03-u02,suresh gupta,male,28,architect,9494707031.0,suresh.gupta36@gmail.com,2024-04-20,owner,v1.0.0
res-00037,t01-f03-u03,rohan das,other,46,homemaker,9124663947.0,rohan.das37@gmail.com,2015-12-28,owner,v1.0.0
res-00038,t01-f03-u03,rahul khan,male,51,teacher,9153454051.0,rahul.khan38@gmail.com,2021-11-05,owner,v1.0.0
res-00039,t01-f03-u04,isha menon,female,37,doctor,9495051256.0,isha.menon39@gmail.com,2024-06-08,owner,v1.0.0
res-00040,t01-f03-u04,aarav rao,female,76,homemaker,9630588481.0,aarav.rao40@gmail.com,2025-01-05,owner,v1.0.0
res-00041,t01-f03-u04,vikram iyer,female,54,lawyer,9510248318.0,vikram.iyer41@gmail.com,2024-11-18,owner,v1.0.0
res-00042,t01-f03-u04,vikram menon,male,54,sales manager,9303327154.0,vikram.menon42@gmail.com,2021-08-26,tenant,v1.0.0
res-00043,t01-f03-u05,sneha das,male,21,consultant,9381105036.0,sneha.das43@gmail.com,2023-09-14,owner,v1.0.0
res-00044,t01-f03-u05,deepa nair,other,76,doctor,9111081272.0,deepa.nair44@gmail.com,2021-01-31,tenant,v1.0.0
res-00045,t01-f03-u05,suresh das,other,45,architect,9860695792.0,invalid-email-format,2021-08-06,owner,v1.0.0
res-00046,t01-f03-u05,rahul patel,other,25,software engineer,9457408429.0,rahul.patel46@gmail.com,2015-11-26,tenant,v1.0.0
res-00047,t01-f03-u05,neha nair,other,23,software engineer,9372362005.0,invalid-email-format,2020-09-07,owner,v1.0.0
res-00048,t01-f03-u06,rohan gupta,female,65,teacher,9700823397.0,rohan.gupta48@gmail.com,2025-11-18,owner,v1.0.0
res-00049,t01-f03-u06,arjun reddy,other,81,banker,9602602298.0,arjun.reddy49@gmail.com,2024-11-11,owner,v1.0.0
res-00050,t01-f03-u06,suresh rao,female,36,consultant,9225458204.0,suresh.rao50@gmail.com,2022-10-30,owner,v1.0.0
res-00051,t01-f03-u06,karthik khan,female,64,architect,9403788949.0,karthik.khan51@gmail.com,2016-03-21,owner,v1.0.0
res-00052,t01-f03-u07,arjun menon,female,84,banker,9567910238.0,arjun.menon52@gmail.com,2016-05-01,owner,v1.0.0
res-00053,t01-f03-u07,aarav sharma,male,89,sales manager,9783600081.0,invalid-email-format,2017-05-23,owner,v1.0.0
res-00054,t01-f03-u07,priya iyer,male,24,business owner,9296646498.0,priya.iyer54@gmail.com,2025-12-10,tenant,v1.0.0
res-00055,t01-f03-u07,arjun reddy,other,77,architect,9224579869.0,arjun.reddy55@gmail.com,2016-04-21,tenant,v1.0.0
res-00056,t01-f03-u07,priya khan,female,89,lawyer,9591515743.0,priya.khan56@gmail.com,2020-10-24,tenant,v1.0.0
res-00057,t01-f03-u07,karthik patel,female,29,business owner,9405067716.0,karthik.patel57@gmail.com,2024-04-26,owner,v1.0.0
res-00058,t01-f03-u08,sneha rao,female,90,sales manager,9728866327.0,sneha.rao58@gmail.com,2023-12-18,owner,v1.0.0
res-00059,t01-f03-u08,sneha das,male,49,lawyer,9826824988.0,sneha.das59@gmail.com,2025-04-14,owner,v1.0.0
res-00060,t01-f03-u08,aarav gupta,other,33,architect,9501105178.0,aarav.gupta60@gmail.com,2019-09-21,tenant,v1.0.0
res-00061,t01-f04-u01,ananya nair,male,21,doctor,9594171613.0,ananya.nair61@gmail.com,2017-01-10,owner,v1.0.0
res-00062,t01-f04-u01,amit gupta,other,18,banker,9147080354.0,amit.gupta62@gmail.com,2018-12-26,tenant,v1.0.0
res-00063,t01-f04-u01,suresh menon,male,45,software engineer,9960666308.0,suresh.menon63@gmail.com,2019-02-15,tenant,v1.0.0
res-00064,t01-f04-u01,suresh sharma,other,27,retired,9746705600.0,suresh.sharma64@gmail.com,2022-01-24,tenant,v1.0.0
res-00065,t01-f04-u08,rahul das,female,40,business owner,9927723397.0,rahul.das65@gmail.com,2016-08-20,owner,v1.0.0
res-00066,t01-f04-u08,rahul sharma,male,38,architect,9936973744.0,rahul.sharma66@gmail.com,2021-10-30,tenant,v1.0.0
res-00067,t01-f05-u01,meera reddy,male,56,lawyer,9960175026.0,meera.reddy67@gmail.com,2021-06-30,owner,v1.0.0
res-00068,t01-f05-u01,karthik nair,other,30,homemaker,9650457212.0,karthik.nair68@gmail.com,2024-02-07,tenant,v1.0.0
res-00069,t01-f05-u01,amit das,female,52,homemaker,9744610969.0,amit.das69@gmail.com,2021-08-07,tenant,v1.0.0
res-00070,t01-f05-u01,isha nair,other,41,architect,9551228244.0,invalid-email-format,2021-07-26,owner,v1.0.0
res-00071,t01-f05-u02,rahul sharma,female,61,lawyer,9826321952.0,rahul.sharma71@gmail.com,2023-10-30,owner,v1.0.0
res-00072,t01-f05-u02,aarav sharma,other,85,doctor,9412139994.0,neha.rao72@gmail.com,2021-02-03,owner,v1.0.0
res-00073,t01-f05-u02,rahul khan,female,37,teacher,9834776489.0,rahul.khan73@gmail.com,2016-03-20,tenant,v1.0.0
res-00074,t01-f05-u02,deepa rao,female,55,homemaker,9151247840.0,deepa.rao74@gmail.com,2020-03-01,tenant,v1.0.0
res-00075,t01-f05-u03,rahul sharma,other,31,retired,9556247420.0,rahul.sharma75@gmail.com,2021-09-17,owner,v1.0.0
res-00076,t01-f05-u04,ananya khan,other,90,consultant,9481669733.0,ananya.khan76@gmail.com,2023-06-27,owner,v1.0.0
res-00077,t01-f05-u04,aarav patel,other,77,teacher,9944151226.0,aarav.patel77@gmail.com,2024-04-19,owner,v1.0.0
res-00078,t01-f05-u04,priya patel,female,56,banker,9730510203.0,priya.patel78@gmail.com,2018-03-23,tenant,v1.0.0
res-00079,t01-f05-u04,aarav sharma,female,61,teacher,9326632940.0,amit.menon79@gmail.com,2024-04-07,tenant,v1.0.0
res-00080,t01-f05-u04,arjun patel,female,86,software engineer,9109957827.0,arjun.patel80@gmail.com,2021-11-30,owner,v1.0.0
res-00081,t01-f05-u07,ananya sharma,male,79,lawyer,9842821285.0,ananya.sharma81@gmail.com,2021-10-19,owner,v1.0.0
res-00082,t01-f05-u07,meera menon,other,64,sales manager,9841196842.0,meera.menon82@gmail.com,2018-10-09,tenant,v1.0.0
res-00083,t01-f05-u07,aarav sharma,male,35,software engineer,9304872179.0,meera.patel83@gmail.com,2025-02-01,tenant,v1.0.0
res-00084,t01-f05-u07,vikram sharma,male,79,sales manager,9255858123.0,vikram.sharma84@gmail.com,2019-01-21,owner,v1.0.0
res-00085,t01-f05-u07,isha rao,male,29,consultant,9926481789.0,isha.rao85@gmail.com,2021-02-22,owner,v1.0.0
res-00086,t01-f05-u07,neha das,male,32,teacher,9263662130.0,neha.das86@gmail.com,2018-01-21,owner,v1.0.0
res-00087,t01-f05-u08,amit khan,female,20,lawyer,9728381921.0,amit.khan87@gmail.com,2023-08-16,owner,v1.0.0
res-00088,t01-f05-u08,aarav sharma,female,24,banker,9109957827.0,meera.menon88@gmail.com,2025-03-11,owner,v1.0.0
res-00089,t01-f05-u08,isha khan,other,88,consultant,9139746932.0,isha.khan89@gmail.com,2020-11-16,tenant,v1.0.0
res-00090,t01-f05-u08,neha rao,other,80,business owner,9866963403.0,invalid-email-format,2025-08-30,tenant,v1.0.0
res-00091,t01-f06-u01,aarav das,other,58,retired,9168193955.0,aarav.das91@gmail.com,2023-05-04,owner,v1.0.0
res-00092,t01-f06-u01,aarav sharma,female,62,lawyer,9848950428.0,neha.patel92@gmail.com,2021-06-14,tenant,v1.0.0
res-00093,t01-f06-u01,sneha gupta,other,42,lawyer,9469203324.0,sneha.gupta93@gmail.com,2021-06-06,owner,v1.0.0
res-00094,t01-f06-u01,deepa menon,other,61,homemaker,9867939251.0,deepa.menon94@gmail.com,2018-12-23,owner,v1.0.0
res-00095,t01-f06-u01,karthik gupta,other,67,architect,9989308449.0,karthik.gupta95@gmail.com,2015-10-15,tenant,v1.0.0
res-00096,t01-f06-u01,neha reddy,other,44,consultant,9841630844.0,neha.reddy96@gmail.com,2017-12-10,tenant,v1.0.0
res-00097,t01-f06-u02,rahul khan,male,40,business owner,9267840982.0,rahul.khan97@gmail.com,2019-07-20,owner,v1.0.0
res-00098,t01-f06-u02,ananya das,female,56,business owner,9324876907.0,ananya.das98@gmail.com,2020-02-06,tenant,v1.0.0
res-00099,t01-f06-u02,aarav nair,female,63,sales manager,9270301326.0,aarav.nair99@gmail.com,2024-05-20,owner,v1.0.0
res-00100,t01-f06-u03,priya patel,female,73,doctor,9763103142.0,priya.patel100@gmail.com,2023-10-20,owner,v1.0.0
res-00101,t01-f06-u03,deepa khan,female,61,banker,9926108943.0,deepa.khan101@gmail.com,2025-10-26,owner,v1.0.0
res-00102,t01-f06-u03,karthik rao,other,31,software engineer,9570112847.0,karthik.rao102@gmail.com,2017-05-20,tenant,v1.0.0
res-00103,t01-f06-u03,ananya patel,other,31,retired,9145064341.0,ananya.patel103@gmail.com,2020-08-27,tenant,v1.0.0
res-00104,t01-f06-u04,aarav sharma,other,33,business owner,9488306318.0,ananya.reddy104@gmail.com,2024-07-31,owner,v1.0.0
res-00105,t01-f06-u04,amit rao,female,30,teacher,9794810784.0,amit.rao105@gmail.com,2022-04-07,tenant,v1.0.0
res-00106,t01-f06-u04,karthik patel,male,74,architect,9925942935.0,karthik.patel106@gmail.com,2017-09-20,tenant,v1.0.0
res-00107,t01-f06-u04,deepa khan,female,54,retired,9551228244.0,deepa.khan107@gmail.com,2025-05-21,owner,v1.0.0
res-00108,t01-f06-u04,lakshmi das,female,49,teacher,9908749062.0,lakshmi.das108@gmail.com,2017-11-22,tenant,v1.0.0
res-00109,t01-f06-u05,aarav sharma,male,72,architect,9539492534.0,isha.iyer109@gmail.com,2016-04-09,owner,v1.0.0
res-00110,t01-f06-u05,lakshmi sharma,female,36,software engineer,9870544763.0,lakshmi.sharma110@gmail.com,2017-04-20,tenant,v1.0.0
res-00111,t01-f06-u05,rahul nair,female,69,teacher,9566081562.0,rahul.nair111@gmail.com,2025-08-27,owner,v1.0.0
res-00112,t01-f06-u05,priya reddy,other,25,sales manager,9865974687.0,priya.reddy112@gmail.com,2017-05-20,tenant,v1.0.0
res-00113,t01-f06-u05,isha das,other,88,consultant,9874759532.0,isha.das113@gmail.com,2018-01-05,tenant,v1.0.0
res-00114,t01-f06-u05,lakshmi sharma,female,85,homemaker,9257691669.0,lakshmi.sharma114@gmail.com,2018-06-28,tenant,v1.0.0
res-00115,t01-f06-u06,rohan khan,other,44,retired,9770401096.0,rohan.khan115@gmail.com,2017-07-02,owner,v1.0.0
res-00116,t01-f06-u06,lakshmi das,male,56,doctor,9139696423.0,lakshmi.das116@gmail.com,2020-04-25,tenant,v1.0.0
res-00117,t01-f06-u06,rohan reddy,other,87,consultant,9329495689.0,rohan.reddy117@gmail.com,2025-04-20,tenant,v1.0.0
res-00118,t01-f06-u06,suresh reddy,male,21,homemaker,9736195900.0,suresh.reddy118@gmail.com,2023-06-11,tenant,v1.0.0
res-00119,t01-f06-u06,meera das,other,32,software engineer,9500483008.0,meera.das119@gmail.com,2023-06-07,owner,v1.0.0
res-00120,t01-f06-u08,lakshmi patel,female,33,lawyer,9419933307.0,lakshmi.patel120@gmail.com,2019-12-04,owner,v1.0.0
res-00121,t01-f06-u08,amit nair,male,90,sales manager,9814597247.0,amit.nair121@gmail.com,2020-05-12,owner,v1.0.0
res-00122,t01-f06-u08,lakshmi gupta,female,35,architect,9657987812.0,lakshmi.gupta122@gmail.com,2018-01-27,owner,v1.0.0
res-00123,t01-f06-u08,ananya nair,other,42,banker,9587811213.0,ananya.nair123@gmail.com,2025-03-30,owner,v1.0.0
res-00124,t01-f06-u08,isha das,male,29,homemaker,9556218652.0,isha.das124@gmail.com,2016-05-18,owner,v1.0.0
res-00125,t01-f07-u01,karthik khan,male,75,doctor,9496526646.0,karthik.khan125@gmail.com,2018-10-02,owner,v1.0.0
res-00126,t01-f07-u01,rohan gupta,other,81,sales manager,9554646119.0,rohan.gupta126@gmail.com,2021-05-29,tenant,v1.0.0
res-00127,t01-f07-u01,isha reddy,male,82,teacher,9620511813.0,isha.reddy127@gmail.com,2030-01-01,tenant,v1.0.0
res-00128,t01-f07-u01,karthik rao,other,33,business owner,9589016791.0,karthik.rao128@gmail.com,2021-01-13,tenant,v1.0.0
res-00129,t01-f07-u01,sneha rao,female,33,homemaker,9538752236.0,sneha.rao129@gmail.com,2025-02-08,owner,v1.0.0
res-00130,t01-f07-u03,ananya nair,other,55,software engineer,9661328067.0,ananya.nair130@gmail.com,2024-08-16,owner,v1.0.0
res-00131,t01-f07-u03,lakshmi gupta,female,56,consultant,9621758578.0,lakshmi.gupta131@gmail.com,2026-01-11,owner,v1.0.0
res-00132,t01-f07-u03,karthik menon,female,24,consultant,9404386805.0,karthik.menon132@gmail.com,2023-12-04,owner,v1.0.0
res-00133,t01-f07-u03,neha sharma,male,88,banker,9172546866.0,neha.sharma133@gmail.com,2016-07-31,owner,v1.0.0
res-00134,t01-f07-u03,isha khan,other,57,homemaker,9585733343.0,isha.khan134@gmail.com,2016-03-31,owner,v1.0.0
res-00135,t01-f07-u04,suresh das,female,34,teacher,9641986065.0,invalid-email-format,2019-03-17,owner,v1.0.0
res-00136,t01-f07-u04,amit khan,male,59,doctor,9958791185.0,amit.khan136@gmail.com,2019-05-03,tenant,v1.0.0
res-00137,t01-f07-u04,rohan iyer,female,61,retired,9149198538.0,rohan.iyer137@gmail.com,2015-08-07,tenant,v1.0.0
res-00138,t01-f07-u04,arjun patel,male,21,homemaker,9776574610.0,arjun.patel138@gmail.com,2017-05-31,tenant,v1.0.0
res-00139,t01-f07-u04,ananya rao,male,42,homemaker,9681790182.0,ananya.rao139@gmail.com,2019-11-16,tenant,v1.0.0
res-00140,t01-f07-u04,vikram khan,other,20,doctor,9806795289.0,vikram.khan140@gmail.com,2015-11-05,owner,v1.0.0
res-00141,t01-f07-u05,sneha sharma,female,44,business owner,9989308449.0,sneha.sharma141@gmail.com,2018-06-06,owner,v1.0.0
res-00142,t01-f07-u05,rahul rao,other,59,architect,9732319072.0,rahul.rao142@gmail.com,2025-11-02,tenant,v1.0.0
res-00143,t01-f07-u05,aarav nair,female,41,architect,9125830942.0,aarav.nair143@gmail.com,2016-09-13,tenant,v1.0.0
res-00144,t01-f07-u05,rohan gupta,male,32,homemaker,9551228244.0,rohan.gupta144@gmail.com,2024-06-16,tenant,v1.0.0
res-00145,t01-f07-u05,karthik reddy,female,29,teacher,9429417778.0,karthik.reddy145@gmail.com,2015-08-31,tenant,v1.0.0
res-00146,t01-f07-u05,sneha sharma,other,59,teacher,9129174843.0,sneha.sharma146@gmail.com,2018-05-06,tenant,v1.0.0
res-00147,t01-f07-u06,priya gupta,female,30,banker,9252965855.0,priya.gupta147@gmail.com,2021-09-18,owner,v1.0.0
res-00148,t01-f07-u07,suresh gupta,female,33,software engineer,9317496560.0,suresh.gupta148@gmail.com,2023-08-28,owner,v1.0.0
res-00149,t01-f07-u07,neha rao,other,67,doctor,9389145285.0,neha.rao149@gmail.com,2025-08-30,owner,v1.0.0
res-00150,t01-f07-u07,amit rao,female,26,lawyer,9131038055.0,amit.rao150@gmail.com,2021-10-09,tenant,v1.0.0
res-00151,t01-f07-u07,aarav gupta,other,30,business owner,9919241705.0,aarav.gupta151@gmail.com,2020-02-14,owner,v1.0.0
res-00152,t01-f07-u07,meera menon,female,75,doctor,9782683973.0,meera.menon152@gmail.com,2020-09-24,owner,v1.0.0
res-00153,t01-f07-u08,vikram reddy,female,87,teacher,9939691516.0,vikram.reddy153@gmail.com,2023-08-05,owner,v1.0.0
res-00154,t01-f08-u01,isha rao,female,23,software engineer,9972569546.0,isha.rao154@gmail.com,2021-02-17,owner,v1.0.0
res-00155,t01-f08-u01,sneha sharma,male,79,consultant,9741955612.0,sneha.sharma155@gmail.com,2023-07-13,tenant,v1.0.0
res-00156,t01-f08-u01,lakshmi iyer,other,83,consultant,9148838858.0,lakshmi.iyer156@gmail.com,2024-07-13,tenant,v1.0.0
res-00157,t01-f08-u01,meera patel,female,33,teacher,9878542046.0,meera.patel157@gmail.com,2020-02-07,owner,v1.0.0
res-00158,t01-f08-u02,aarav sharma,male,82,banker,9832400367.0,arjun.das158@gmail.com,2015-09-28,owner,v1.0.0
res-00159,t01-f08-u02,arjun khan,female,49,sales manager,9445356445.0,invalid-email-format,2022-07-06,tenant,v1.0.0
res-00160,t01-f08-u02,amit menon,female,20,teacher,9794113197.0,amit.menon160@gmail.com,2016-01-01,owner,v1.0.0
res-00161,t01-f08-u02,neha sharma,male,40,architect,9696775664.0,neha.sharma161@gmail.com,2016-04-20,owner,v1.0.0
res-00162,t01-f08-u03,neha das,other,28,sales manager,9799292052.0,neha.das162@gmail.com,2025-06-22,owner,v1.0.0
res-00163,t01-f08-u04,aarav khan,other,33,banker,9972717220.0,aarav.khan163@gmail.com,2022-02-14,owner,v1.0.0
res-00164,t01-f08-u04,rohan reddy,other,19,doctor,9596812325.0,rohan.reddy164@gmail.com,2022-03-10,tenant,v1.0.0
res-00165,t01-f08-u05,vikram khan,male,46,software engineer,9914348348.0,vikram.khan165@gmail.com,2023-03-11,owner,v1.0.0
res-00166,t01-f08-u05,vikram patel,other,56,business owner,9551228244.0,vikram.patel166@gmail.com,2020-10-21,tenant,v1.0.0
res-00167,t01-f08-u05,priya gupta,female,44,software engineer,9310546588.0,priya.gupta167@gmail.com,2017-02-18,tenant,v1.0.0
res-00168,t01-f08-u05,ananya gupta,other,82,lawyer,9551228244.0,ananya.gupta168@gmail.com,2020-02-26,tenant,v1.0.0
res-00169,t01-f08-u05,sneha patel,other,34,doctor,9236827900.0,sneha.patel169@gmail.com,2023-06-07,owner,v1.0.0
res-00170,t01-f08-u06,deepa rao,other,53,business owner,9827974104.0,deepa.rao170@gmail.com,2026-01-31,owner,v1.0.0
res-00171,t01-f08-u06,amit sharma,female,24,banker,9564445061.0,amit.sharma171@gmail.com,2016-11-15,tenant,v1.0.0
res-00172,t01-f08-u06,arjun patel,other,84,lawyer,9632119301.0,arjun.patel172@gmail.com,2022-04-16,tenant,v1.0.0
res-00173,t01-f08-u06,deepa sharma,female,71,retired,9581961364.0,deepa.sharma173@gmail.com,2022-10-18,owner,v1.0.0
res-00174,t01-f08-u06,rohan iyer,female,28,homemaker,9967232189.0,invalid-email-format,2026-01-22,owner,v1.0.0
res-00175,t01-f08-u07,deepa das,male,49,business owner,9276610744.0,deepa.das175@gmail.com,2022-08-26,owner,v1.0.0
res-00176,t01-f08-u07,aarav sharma,male,79,architect,9967646831.0,rahul.patel176@gmail.com,2026-01-27,tenant,v1.0.0
res-00177,t01-f08-u07,arjun iyer,male,78,business owner,9465933326.0,arjun.iyer177@gmail.com,2017-01-03,tenant,v1.0.0
res-00178,t01-f08-u07,suresh rao,male,27,homemaker,9765254520.0,invalid-email-format,2021-06-04,owner,v1.0.0
res-00179,t01-f08-u08,ananya khan,other,33,doctor,9165162109.0,ananya.khan179@gmail.com,2016-01-24,owner,v1.0.0
res-00180,t01-f08-u08,rohan nair,other,26,teacher,9166574389.0,rohan.nair180@gmail.com,2016-01-14,owner,v1.0.0
res-00181,t01-f08-u08,priya gupta,other,73,doctor,9209336534.0,priya.gupta181@gmail.com,2018-09-29,tenant,v1.0.0
res-00182,t01-f08-u08,priya gupta,female,69,doctor,9762822951.0,priya.gupta182@gmail.com,2017-11-28,owner,v1.0.0
res-00183,t01-f08-u08,deepa menon,other,19,lawyer,9512230991.0,deepa.menon183@gmail.com,2021-02-19,tenant,v1.0.0
res-00184,t01-f08-u08,ananya nair,other,21,lawyer,9655353112.0,ananya.nair184@gmail.com,2022-08-30,tenant,v1.0.0
res-00185,t01-f09-u01,vikram patel,male,19,homemaker,9865899399.0,vikram.patel185@gmail.com,2025-08-02,owner,v1.0.0
res-00186,t01-f09-u03,vikram menon,male,83,consultant,9481598412.0,vikram.menon186@gmail.com,2021-08-15,owner,v1.0.0
res-00187,t01-f09-u03,amit reddy,male,35,software engineer,9164951915.0,amit.reddy187@gmail.com,2024-11-29,tenant,v1.0.0
res-00188,t01-f09-u03,isha rao,other,63,consultant,9726706507.0,isha.rao188@gmail.com,2016-06-01,tenant,v1.0.0
res-00189,t01-f09-u03,karthik khan,female,61,consultant,9496028184.0,invalid-email-format,2026-04-02,owner,v1.0.0
res-00190,t01-f09-u03,priya iyer,other,89,software engineer,9553184702.0,priya.iyer190@gmail.com,2022-06-27,owner,v1.0.0
res-00191,t01-f09-u04,vikram iyer,other,43,doctor,9466738585.0,vikram.iyer191@gmail.com,2024-03-21,owner,v1.0.0
res-00192,t01-f09-u04,amit menon,other,60,homemaker,9707841924.0,amit.menon192@gmail.com,2015-07-18,tenant,v1.0.0
res-00193,t01-f09-u04,meera das,female,38,doctor,9587803152.0,invalid-email-format,2016-07-08,tenant,v1.0.0
res-00194,t01-f09-u04,neha iyer,male,46,business owner,9600940025.0,invalid-email-format,2019-05-07,owner,v1.0.0
res-00195,t01-f09-u05,vikram iyer,female,60,architect,9320456760.0,vikram.iyer195@gmail.com,2021-11-08,owner,v1.0.0
res-00196,t01-f09-u05,aarav nair,male,27,banker,9132231138.0,aarav.nair196@gmail.com,2020-02-14,owner,v1.0.0
res-00197,t01-f09-u05,karthik gupta,female,42,sales manager,9728875974.0,karthik.gupta197@gmail.com,2016-02-09,owner,v1.0.0
res-00198,t01-f09-u05,priya sharma,male,43,consultant,9286988502.0,priya.sharma198@gmail.com,2023-11-21,tenant,v1.0.0
res-00199,t01-f09-u05,sneha nair,other,49,teacher,9310440043.0,sneha.nair199@gmail.com,2026-02-06,tenant,v1.0.0
res-00200,t01-f09-u06,sneha gupta,male,20,sales manager,9247364121.0,sneha.gupta200@gmail.com,2022-02-03,owner,v1.0.0
res-00201,t01-f09-u06,suresh iyer,female,76,business owner,9496898624.0,suresh.iyer201@gmail.com,2017-04-07,owner,v1.0.0
res-00202,t01-f09-u06,sneha rao,other,73,doctor,9227231238.0,sneha.rao202@gmail.com,2024-09-21,tenant,v1.0.0
res-00203,t01-f09-u06,vikram iyer,other,66,banker,9441397938.0,vikram.iyer203@gmail.com,2019-08-15,owner,v1.0.0
res-00204,t01-f09-u06,deepa sharma,other,42,homemaker,9415876317.0,deepa.sharma204@gmail.com,2017-06-27,tenant,v1.0.0
res-00205,t01-f09-u06,suresh iyer,male,53,teacher,9645750195.0,suresh.iyer205@gmail.com,2015-06-26,owner,v1.0.0
res-00206,t01-f09-u07,neha iyer,other,28,lawyer,9949326796.0,neha.iyer206@gmail.com,2018-11-26,owner,v1.0.0
res-00207,t01-f09-u08,rahul reddy,other,67,sales manager,9906526424.0,rahul.reddy207@gmail.com,2020-08-19,owner,v1.0.0
res-00208,t01-f09-u08,neha rao,female,40,banker,9865026957.0,neha.rao208@gmail.com,2022-02-24,tenant,v1.0.0
res-00209,t01-f10-u01,neha khan,female,52,homemaker,9530512565.0,neha.khan209@gmail.com,2019-03-10,owner,v1.0.0
